Date,Open,High,Low,Close,Volume,Stock
2015-04-14,0.2217,0.2439,0.1885,0.1996,180728200.0,BIOHLDG
2015-04-15,0.1996,0.2106,0.1996,0.2106,47759700.0,BIOHLDG
2015-04-16,0.2106,0.218,0.2032,0.2143,46193000.0,BIOHLDG
2015-04-17,0.2143,0.2845,0.2106,0.2845,239142400.0,BIOHLDG
2015-04-20,0.2956,0.3474,0.2956,0.3067,262264400.0,BIOHLDG
2015-04-21,0.3067,0.3289,0.3067,0.3141,62100800.0,BIOHLDG
2015-04-22,0.3178,0.3548,0.3178,0.34,136698700.0,BIOHLDG
2015-04-23,0.3474,0.3511,0.3289,0.3289,61828000.0,BIOHLDG
2015-04-24,0.3326,0.3326,0.3141,0.3215,44766500.0,BIOHLDG
2015-04-27,0.3215,0.3289,0.2956,0.303,28894000.0,BIOHLDG
2015-04-28,0.2956,0.3067,0.2661,0.2808,60106900.0,BIOHLDG
2015-04-29,0.2808,0.2919,0.255,0.2919,74916800.0,BIOHLDG
2015-04-30,0.2882,0.2993,0.2698,0.2735,42599900.0,BIOHLDG
2015-05-05,0.2772,0.2808,0.2587,0.2587,20454900.0,BIOHLDG
2015-06-05,0.255,0.2845,0.255,0.2772,55662600.0,BIOHLDG
2015-07-05,0.2735,0.2808,0.2587,0.2698,45165400.0,BIOHLDG
2015-08-05,0.2661,0.2735,0.2624,0.2661,32637000.0,BIOHLDG
2015-11-05,0.2661,0.2698,0.2476,0.2513,26999900.0,BIOHLDG
2015-12-05,0.2476,0.2587,0.2365,0.2402,37318800.0,BIOHLDG
2015-05-13,0.2402,0.255,0.2402,0.2476,28902600.0,BIOHLDG
2015-05-14,0.2439,0.2624,0.2439,0.255,39376400.0,BIOHLDG
2015-05-15,0.2587,0.2624,0.255,0.255,23140700.0,BIOHLDG
2015-05-18,0.2513,0.2624,0.2476,0.2587,30988600.0,BIOHLDG
2015-05-19,0.2587,0.2845,0.2587,0.2735,75311800.0,BIOHLDG
2015-05-20,0.2772,0.2772,0.2624,0.2624,20510400.0,BIOHLDG
2015-05-21,0.2624,0.2698,0.2513,0.255,15972000.0,BIOHLDG
2015-05-22,0.255,0.255,0.2476,0.255,7199700.0,BIOHLDG
2015-05-25,0.255,0.255,0.2328,0.2365,31335700.0,BIOHLDG
2015-05-26,0.2365,0.2476,0.2365,0.2402,25331500.0,BIOHLDG
2015-05-27,0.2365,0.2402,0.2365,0.2402,10558100.0,BIOHLDG
2015-05-28,0.2439,0.2513,0.2365,0.2402,28418400.0,BIOHLDG
2015-05-29,0.2402,0.2402,0.2254,0.2254,19431400.0,BIOHLDG
2015-01-06,0.2291,0.2328,0.218,0.2254,17087400.0,BIOHLDG
2015-02-06,0.2254,0.2365,0.2254,0.2328,16226400.0,BIOHLDG
2015-03-06,0.2291,0.2402,0.2291,0.2328,17647600.0,BIOHLDG
